Period,Age Group,Category 0,Category 1
0,0-20,4,3
0,20-40,0,0
0,40-60,0,0
0,60-80,0,0
0,80-inf,0,0
1,0-20,7,6
1,20-40,0,0
1,40-60,0,0
1,60-80,0,0
1,80-inf,0,0
2,0-20,8,3
2,20-40,0,0
2,40-60,0,0
2,60-80,0,0
2,80-inf,0,0
3,0-20,2,2
3,20-40,0,0
3,40-60,0,0
3,60-80,0,0
3,80-inf,0,0
4,0-20,4,4
4,20-40,0,0
4,40-60,0,0
4,60-80,0,0
4,80-inf,0,0
5,0-20,5,2
5,20-40,0,0
5,40-60,0,0
5,60-80,0,0
5,80-inf,0,0
6,0-20,3,2
6,20-40,0,0
6,40-60,0,0
6,60-80,0,0
6,80-inf,0,0
7,0-20,4,6
7,20-40,0,0
7,40-60,0,0
7,60-80,0,0
7,80-inf,0,0
8,0-20,2,3
8,20-40,0,0
8,40-60,0,0
8,60-80,0,0
8,80-inf,0,0
9,0-20,5,2
9,20-40,0,0
9,40-60,0,0
9,60-80,0,0
9,80-inf,0,0
10,0-20,3,7
10,20-40,0,0
10,40-60,0,0
10,60-80,0,0
10,80-inf,0,0
11,0-20,4,4
11,20-40,0,0
11,40-60,0,0
11,60-80,0,0
11,80-inf,0,0
12,0-20,3,6
12,20-40,0,0
12,40-60,0,0
12,60-80,0,0
12,80-inf,0,0
13,0-20,4,3
13,20-40,0,0
13,40-60,0,0
13,60-80,0,0
13,80-inf,0,0
14,0-20,4,3
14,20-40,0,0
14,40-60,0,0
14,60-80,0,0
14,80-inf,0,0
15,0-20,4,1
15,20-40,0,0
15,40-60,0,0
15,60-80,0,0
15,80-inf,0,0
16,0-20,2,4
16,20-40,0,0
16,40-60,0,0
16,60-80,0,0
16,80-inf,0,0
17,0-20,3,5
17,20-40,0,0
17,40-60,0,0
17,60-80,0,0
17,80-inf,0,0
18,0-20,2,3
18,20-40,0,0
18,40-60,0,0
18,60-80,0,0
18,80-inf,0,0
19,0-20,3,6
19,20-40,0,0
19,40-60,0,0
19,60-80,0,0
19,80-inf,0,0
20,0-20,0,4
20,20-40,0,0
20,40-60,0,0
20,60-80,0,0
20,80-inf,0,0
21,0-20,4,4
21,20-40,0,0
21,40-60,0,0
21,60-80,0,0
21,80-inf,0,0
22,0-20,1,3
22,20-40,0,0
22,40-60,0,0
22,60-80,0,0
22,80-inf,0,0
23,0-20,3,3
23,20-40,0,0
23,40-60,0,0
23,60-80,0,0
23,80-inf,0,0
24,0-20,2,2
24,20-40,0,0
24,40-60,0,0
24,60-80,0,0
24,80-inf,0,0
25,0-20,3,5
25,20-40,0,0
25,40-60,0,0
25,60-80,0,0
25,80-inf,0,0
26,0-20,4,5
26,20-40,0,0
26,40-60,0,0
26,60-80,0,0
26,80-inf,0,0
27,0-20,4,3
27,20-40,0,0
27,40-60,0,0
27,60-80,0,0
27,80-inf,0,0
